id,name,city,birthdate,purchases,total_amount
433,Tomás Contreras,Antofagasta,2000-07-01,2,527640
304,Sofía Ramírez,Santiago,1993-01-04,3,3972783
520,Joaquín Vargas,Santiago,1992-08-28,1,675210
201,Pedro Rojas,Temuco,2001-07-07,1,22761
431,Sofía Vargas,Temuco,2008-03-05,1,39988
226,Sofía Torres,Santiago,1996-03-14,1,109854
553,Daniela Mendoza,La Serena,1994-12-03,2,87078
234,Valentina Flores,Santiago,1994-10-13,3,1106284
344,Ana Fuentes,Valparaíso,1993-07-02,1,21870
51,Camila Pérez,Chillán ,1988-03-10,2,337605
195,Daniela Soto,Santiago,2003-04-04,1,27045
415,Ana Fuentes,Rancagua,1982-08-22,1,65286
598,Lucas Muñoz,Santiago,,1,32643
593,Antonia Soto,Iquique,1991-01-25,0,0
224,Sofía Pérez,Santiago,1998-03-13,1,61689
150,Tomás Riquelme,Santiago,1989-03-08,5,264718
204,Fernanda Mendoza,Puerto Montt,1974-07-05,1,95174
68,Catalina García,Antofagasta,1987-08-25,2,155658
385,Martina Díaz,Santiago,1990-12-08,2,93530
399,María Ramírez,Santiago,1991-03-10,0,0
541,Ana Rios,La Serena,1999-04-14,0,0
50,Antonia Díaz,Concepción,2007-05-06,2,104163
148,Pedro Silva,Valparaíso,2010-09-06,0,0
56,Camila Vargas,Concepción,1991-11-10,3,1486925
146,Antonia Hernández,Rancagua,1986-12-25,0,0
240,Daniela Mendoza,Santiago,1984-12-06,1,91685
586,Gabriel García,Santiago,2010-04-23,0,0
393,Gabriel Rios,Concepción,2003-07-21,1,43249
414,Gabriel Soto,Santiago,1988-06-27,3,1348246
568,Camila Flores,Chillán ,1998-07-04,2,57435
419,Vicente Flores,Santiago,1984-02-26,1,58605
291,Mateo Hernández,Puerto Montt,1982-07-24,4,954225
301,Camila López,Santiago,2008-10-12,5,1443140
578,María Soto,Santiago,1983-05-18,1,1451083
9,Vicente Pérez,Santiago,1994-02-01,2,3812240
158,Camila López,Concepción,1999-10-08,4,157757
290,Valentina Pérez,Valparaíso,1989-08-17,0,0
315,Antonio Silva,La Serena,2001-10-10,3,279090
324,Ignacio López,Santiago,2010-06-15,1,48332
105,Lucas Muñoz,Iquique,1982-01-26,1,487890
267,Antonio Torres,Santiago,1986-10-03,4,449097
22,Ana Pérez,Santiago,1986-08-17,0,0
313,Mateo Mendoza,Santiago,1990-10-03,0,0
218,Fernanda González,Valparaíso,2009-03-21,0,0
123,Ignacio Vargas,Santiago,1993-05-31,0,0
252,Fernanda Rios,Chillán ,1973-09-15,2,556797
584,Joaquín Flores,Valparaíso,1988-02-29,2,2968976
576,Martina Contreras,Concepción,1992-06-06,1,115636
214,Antonia Díaz,Santiago,1989-10-21,1,50925
297,Gabriel Rojas,Santiago,1995-02-16,1,95271
582,María Fuentes,Santiago,1992-10-24,2,700837
249,Ignacio López,Santiago,1992-09-06,1,190835
127,Ignacio Vargas,Santiago,2000-05-22,1,707138
285,Camila Hernández,Rancagua,1995-08-18,0,0
272,Tomás Muñoz,La Serena,1993-05-20,0,0
282,Catalina Soto,Santiago,1992-10-17,2,118699
233,Catalina Rios,Iquique,1963-01-13,0,0
264,Daniela Silva,Concepción,1997-05-01,1,37341
275,Mateo García,Santiago,2008-12-01,2,84785
509,Mateo Fuentes,Santiago,1995-11-26,2,143389
170,Camila Díaz,Santiago,2010-05-03,2,1161330
40,Vicente Soto,Temuco,1971-01-02,2,254632
514,Antonio Aravena,Santiago,2000-09-27,2,394630
44,Camila Pérez,Antofagasta,1995-07-14,1,73094
373,Antonia González,Santiago,1991-10-15,0,0
278,Ignacio Soto,Rancagua,1982-12-06,1,1160259
260,Daniela Martínez,Santiago,1999-10-29,0,0
15,Camila Soto,Valparaíso,1988-10-06,4,3243802
411,Antonia Silva,Santiago,1995-01-04,2,150339
350,Sofía Torres,Santiago,1993-11-14,1,35769
228,Sofía Vargas,Chillán ,1985-01-24,2,115982
77,Antonio Martínez,Santiago,2000-09-03,1,139786
355,Sofía Pérez,Santiago,1975-02-28,1,564156
271,Sofía Pérez,Iquique,1994-09-24,1,1669075
312,Catalina Soto,Chillán ,1982-09-16,3,140776
357,Joaquín Torres,Santiago,1999-12-14,3,543738
349,Antonio López,Santiago,1992-08-26,1,497271
200,Gabriel Contreras,Valparaíso,2002-06-03,1,45458
132,Mateo Silva,Rancagua,1983-04-23,0,0
197,Tomás Riquelme,Santiago,1992-06-22,1,65286
379,Catalina Rojas,Santiago,2000-01-26,1,22661
527,Antonia Silva,Antofagasta,,2,155505
352,Gabriel Ramírez,Concepción,1966-12-09,2,71374
32,Pedro Silva,Santiago,1986-04-14,4,1354294
594,Valentina Contreras,Iquique,1983-02-18,5,1491308
470,María García,Santiago,1977-04-02,0,0
277,Tomás Soto,Santiago,1985-06-13,1,109854
165,Isidora Contreras,Santiago,1975-12-19,0,0
188,Antonia Díaz,Santiago,1992-03-12,1,47045
525,Sofía Pérez,La Serena,1987-11-07,3,60178
337,Mateo García,Santiago,1970-07-17,0,0
480,Daniela García,Santiago,2005-03-14,0,0
225,Martina López,Santiago,1988-08-27,0,0
577,Pedro Rojas,Santiago,1998-10-12,0,0
295,Antonio Pérez,Antofagasta,1972-06-01,0,0
72,Camila Fuentes,Santiago,1994-09-16,0,0
579,Ana González,Santiago,1988-11-27,1,111811
329,Ignacio García,Santiago,1989-12-15,0,0
472,Joaquín López,Concepción,2001-12-25,1,31011
12,Antonia Rios,Santiago,1995-07-22,0,0
276,Mateo Silva,Santiago,1999-01-18,0,0
53,Mateo Mendoza,Concepción,1980-06-10,2,140388
457,Daniela Flores,Temuco,1999-09-14,0,0
79,Martina Rios,Rancagua,1977-09-25,1,31395
432,Camila Aravena,Santiago,1987-07-18,1,32068
52,Isidora Riquelme,Antofagasta,1981-04-07,1,29933
216,María Rios,Temuco,1974-01-19,1,35689
404,Mateo Muñoz,Santiago,1979-04-12,0,0
469,Antonia Pérez,Santiago,1985-02-04,2,29181
191,Martina Riquelme,Antofagasta,1998-08-21,2,2208028
8,Fernanda Soto,Chillán ,1992-03-07,0,0
88,Ana Torres,Chillán ,1989-12-31,1,293678
540,Joaquín Martínez,Santiago,1981-09-18,0,0
246,Mateo López,Concepción,1990-09-21,1,47850
340,Ignacio Silva,La Serena,1993-08-03,3,1217350
422,Antonia Torres,Antofagasta,1968-05-20,29,9518199
573,Gabriel Soto,Chillán ,1984-04-29,2,48264
117,Martina Silva,Santiago,1984-11-02,5,4257791
322,Martina Muñoz,Santiago,1998-02-24,0,0
363,Valentina Fuentes,Santiago,1997-07-04,0,0
168,Fernanda Aravena,Santiago,1996-05-11,1,35769
382,Valentina Pérez,Santiago,2002-09-07,1,21434
66,Ignacio López,Concepción,1991-10-01,2,132933
13,Catalina Aravena,La Serena,1988-10-24,3,110621
273,Daniela García,Santiago,2000-06-22,0,0
256,Joaquín Soto,Santiago,1997-05-13,2,1783592
526,Isidora González,Santiago,1979-02-04,0,0
530,Ana Rios,Santiago,2010-09-05,0,0
268,Lucas Rojas,Valparaíso,1993-12-31,1,167719
495,Tomás Silva,Santiago,1973-11-26,2,680861
289,Antonia Ramírez,Concepción,1981-11-18,2,135456
37,Valentina Rios,Santiago,1983-10-19,0,0
305,Pedro Díaz,Chillán ,1970-01-13,0,0
545,Daniela Díaz,Santiago,1974-05-20,4,681479
196,Tomás Muñoz,Chillán ,1981-08-09,0,0
356,Fernanda Flores,Santiago,1998-04-23,0,0
263,Mateo Rojas,La Serena,2006-04-18,0,0
221,María Rojas,Iquique,2001-08-24,0,0
238,Sofía Martínez,Antofagasta,1976-05-31,1,28861
456,Fernanda Pérez,Temuco,1999-06-25,0,0
334,Valentina Muñoz,Santiago,1997-01-28,0,0
354,Isidora Torres,Santiago,1978-03-17,0,0
502,Martina Martínez,Santiago,1995-03-10,3,140082
551,Ignacio Martínez,Santiago,1987-05-12,1,95456
326,Catalina Torres,Antofagasta,2008-10-16,4,482023
85,Antonio Torres,Santiago,1998-07-26,1,2886199
254,Tomás Rojas,Santiago,1999-04-07,1,29934
416,Gabriel Soto,Santiago,2000-06-03,2,1190724
270,Fernanda Torres,Santiago,2010-11-12,0,0
558,Tomás Torres,Santiago,2002-03-16,1,87266
265,Tomás Silva,Santiago,1982-12-19,0,0
140,María Soto,Valparaíso,1990-12-16,1,33722
331,Ignacio López,Antofagasta,1982-08-28,2,65055
323,Catalina Flores,Santiago,2000-08-30,2,2695886
581,Antonio Mendoza,Santiago,1970-06-15,1,249721
454,Catalina Vargas,Santiago,1999-04-25,2,3303252
580,Daniela Contreras,Santiago,1996-07-07,0,0
425,Daniela Ramírez,Antofagasta,1986-12-11,1,84562
353,Martina Ramírez,Valparaíso,1997-11-11,1,1654515
202,Lucas Muñoz,Santiago,1989-03-25,2,1969797
128,Ignacio Soto,Valparaíso,1973-05-11,1,60249
477,Gabriel Mendoza,Santiago,1985-07-18,1,150947
450,Tomás Díaz,Santiago,1996-10-01,1,39228
157,Camila Pérez,Santiago,1976-08-02,1,2343521
259,Daniela Mendoza,Antofagasta,1997-10-09,3,3621177
421,Vicente Pérez,La Serena,1996-11-09,0,0
58,Joaquín Riquelme,La Serena,1987-12-24,2,92183
453,Pedro García,Santiago,1986-03-25,1,563764
207,Lucas Aravena,Santiago,2010-02-26,1,487890
391,Tomás Mendoza,Antofagasta,1986-05-24,1,76941
424,Valentina Hernández,Santiago,1997-02-21,4,130513
463,Lucas Fuentes,Concepción,2006-11-18,1,1564507
522,Antonio Silva,Iquique,2006-12-01,2,2883092
172,María Contreras,Antofagasta,2005-02-20,0,0
499,Gabriel Riquelme,Valparaíso,2010-07-11,5,2513092
258,María Rojas,Valparaíso,1982-01-02,0,0
517,Ignacio Contreras,Antofagasta,1976-07-15,0,0
113,Lucas Muñoz,Puerto Montt,1994-10-17,1,17151
473,Isidora Vargas,Santiago,1992-04-22,0,0
175,María Flores,Santiago,1992-03-15,3,288713
333,Lucas Riquelme,Santiago,1978-12-21,3,102333
535,Fernanda Rojas,Santiago,1987-02-14,0,0
155,María Silva,Rancagua,1971-08-05,14,4827427
466,Joaquín Pérez,Santiago,1985-08-30,0,0
389,Gabriel Pérez,Santiago,1974-10-04,4,1151534
31,Antonia Torres,Concepción,2009-02-23,1,27045
6,Antonio Díaz,Puerto Montt,2003-01-05,2,351262
21,Antonia López,Rancagua,1989-11-05,12,3079168
510,Pedro Silva,Santiago,1994-02-23,2,126004
46,Antonia López,Iquique,2001-01-04,0,0
223,Tomás Martínez,Santiago,2005-01-08,0,0
560,Vicente Fuentes,Santiago,2009-09-19,0,0
194,Gabriel Contreras,Concepción,1991-04-15,0,0
475,Joaquín Hernández,Santiago,1996-12-07,0,0
116,Pedro Flores,Antofagasta,1982-07-31,1,343609
566,Camila Mendoza,La Serena,1998-09-18,1,50925
413,Gabriel González,Puerto Montt,1991-04-16,1,31509
78,Gabriel Aravena,Puerto Montt,1984-03-17,1,82903
507,Valentina Martínez,Santiago,1981-08-27,2,44531
229,Martina López,Santiago,1997-07-17,1,36935
420,Mateo Fuentes,Santiago,1991-02-15,1,658991
163,Lucas Vargas,Santiago,1969-06-21,0,0
543,Antonio Riquelme,Concepción,2010-04-04,0,0
556,Joaquín Pérez,Valparaíso,,1,92217
464,María García,Concepción,1987-12-29,1,19262
30,Ana Silva,Santiago,1994-11-10,1,581843
490,Ignacio Soto,Antofagasta,2010-09-22,1,18054
19,Gabriel Aravena,Rancagua,1991-10-16,1,82995
100,Tomás Rios,Santiago,1999-05-03,2,130991
442,Camila Flores,Antofagasta,1997-05-18,1,1160259
300,Lucas Contreras,Puerto Montt,2001-05-22,2,1974480
160,Martina González,Rancagua,2004-04-11,0,0
335,Daniela Ramírez,Santiago,1992-03-13,1,286680
523,Isidora Aravena,Santiago,2007-09-10,2,1584204
561,María Martínez,Antofagasta,1982-05-28,1,90507
597,Gabriel Rios,Santiago,1990-05-16,1,22761
448,Ignacio Contreras,Santiago,1997-03-19,0,0
401,Daniela Aravena,Antofagasta,1990-10-30,1,35497
134,Ignacio Ramírez,Valparaíso,1981-08-17,1,86525
179,Sofía Aravena,Santiago,1995-03-19,1,105926
139,Valentina Vargas,Rancagua,1980-07-19,0,0
516,Martina Fuentes,Concepción,1959-04-15,2,70258
97,Antonio Riquelme,Concepción,1988-11-06,0,0
86,María Pérez,Santiago,1984-03-23,4,541867
24,Gabriel Rojas,Santiago,1996-12-11,0,0
396,Antonia Rojas,Concepción,1989-04-16,4,1065836
405,Mateo Vargas,Chillán ,1999-10-24,2,1407263
292,Ana García,Concepción,1971-11-02,2,55681
141,Joaquín Hernández,Santiago,1999-01-14,0,0
144,Antonio Vargas,Antofagasta,1983-09-07,1,61689
536,Sofía Riquelme,Santiago,1998-11-22,2,1497864
380,Catalina Muñoz,Santiago,1990-10-10,0,0
519,Pedro González,Santiago,2002-07-30,0,0
552,Gabriel Ramírez,Chillán ,2004-05-26,4,2014825
489,Martina Mendoza,Santiago,1975-09-17,3,723339
468,Isidora Hernández,Santiago,1979-04-07,3,438528
107,Valentina Soto,Rancagua,1989-11-08,0,0
550,Mateo Ramírez,Santiago,1996-05-11,2,91955
360,Gabriel Díaz,Rancagua,1993-03-11,0,0
138,Sofía López,La Serena,2005-12-17,0,0
429,Daniela Aravena,Valparaíso,1990-02-23,1,76941
187,Joaquín Mendoza,Valparaíso,1975-12-08,0,0
554,Ignacio Muñoz,Valparaíso,,0,0
451,Valentina Silva,Concepción,1963-12-07,1,500495
198,Catalina Vargas,Valparaíso,1989-02-22,0,0
388,Ana López,Rancagua,1973-05-31,0,0
114,Camila López,Santiago,1985-01-10,0,0
247,Valentina Mendoza,Santiago,2005-03-03,0,0
361,Camila Riquelme,Concepción,2008-05-13,1,7270
131,Sofía Mendoza,Santiago,1974-03-09,2,332595
445,Fernanda Muñoz,Puerto Montt,1977-02-11,2,123289
43,Ana Silva,Antofagasta,2003-01-10,4,377958
5,Pedro Díaz,Santiago,1967-01-16,1,31509
133,Pedro González,Santiago,1994-09-22,0,0
479,Camila Vargas,Concepción,1952-12-12,0,0
27,María Martínez,Concepción,1997-01-04,0,0
565,Valentina Aravena,Santiago,1980-10-13,2,128060
28,Isidora Silva,Santiago,1991-04-24,0,0
316,Mateo López,La Serena,2002-07-30,0,0
459,Ana Mendoza,La Serena,1984-08-09,1,1160259
294,Catalina Martínez,Santiago,2003-06-18,1,110245
318,Isidora Torres,Valparaíso,2006-07-01,27,10140867
549,Mateo Riquelme,Chillán ,1995-05-15,1,57237
48,Mateo Torres,Santiago,2010-02-04,1,91685
210,Camila Rios,Concepción,2010-05-13,1,31369
443,Fernanda González,Santiago,1998-04-26,1,1350026
575,Mateo González,Temuco,1991-05-30,0,0
310,Tomás Silva,Temuco,1983-07-08,1,17665
181,Vicente Flores,Valparaíso,1977-09-26,3,500837
169,Lucas Ramírez,Santiago,1995-03-06,2,114331
206,Daniela Rojas,Santiago,1972-06-13,2,773674
76,Isidora Rios,Santiago,1988-10-25,2,177403
590,Ignacio Riquelme,Santiago,1994-01-15,1,437133
25,Camila Díaz,Antofagasta,1980-06-07,3,1720802
390,Valentina Díaz,Chillán ,1976-01-23,3,1276495
303,Antonio Riquelme,Rancagua,1992-03-18,2,99210
377,Isidora Pérez,Santiago,1998-03-25,1,22761
437,Antonio Flores,Santiago,1987-01-02,1,61689
492,Ana Riquelme,Temuco,1993-07-28,2,1294471
500,Gabriel Mendoza,Santiago,2009-05-25,3,164073
159,Mateo Torres,Puerto Montt,1993-11-08,2,1487831
481,Sofía Silva,Temuco,1993-10-01,2,90248
343,Isidora Ramírez,Iquique,1991-08-02,0,0
407,Ana Martínez,La Serena,1987-05-13,1,463496
423,Vicente García,Santiago,1977-09-19,0,0
546,Pedro Hernández,Valparaíso,2003-12-17,1,95174
476,Daniela González,La Serena,1990-04-15,3,98353
89,María Rios,Valparaíso,1982-02-14,2,54379
232,Fernanda Díaz,Concepción,2010-03-13,4,1972719
298,Catalina González,Temuco,1976-10-11,0,0
251,Daniela Fuentes,Santiago,1989-07-08,0,0
4,Mateo Rojas,Santiago,1958-04-16,2,99379
430,Ana Contreras,Santiago,1981-06-21,3,410094
135,María Mendoza,Santiago,2002-01-28,0,0
3,Tomás Torres,La Serena,1990-08-05,0,0
435,Pedro Rojas,Valparaíso,1995-09-11,1,374968
370,Isidora Riquelme,Valparaíso,1986-12-29,3,263319
71,Pedro González,Santiago,2010-07-21,0,0
231,Mateo Riquelme,Santiago,1988-12-23,1,48332
471,Fernanda Mendoza,Concepción,1995-12-23,2,326698
358,Daniela Fuentes,Santiago,,0,0
212,Joaquín Flores,Concepción,1986-05-25,2,38173
193,Vicente González,Santiago,1990-04-10,0,0
402,Ignacio Soto,Valparaíso,1967-01-18,0,0
447,Valentina Fuentes,La Serena,1988-10-08,0,0
241,Vicente Pérez,Santiago,1982-10-06,1,7162
23,Antonia García,Puerto Montt,1999-04-14,3,49307
487,Sofía Rojas,Valparaíso,2000-11-28,2,1405298
60,Daniela Ramírez,Rancagua,1972-08-13,0,0
599,Valentina Soto,Rancagua,1998-12-27,0,0
284,Martina Vargas,Santiago,2006-02-18,2,73747
439,Pedro Fuentes,La Serena,2006-05-05,1,594182
17,Sofía Contreras,Santiago,2002-12-30,1,2109169
513,Ana Aravena,Santiago,2005-10-02,0,0
